date,time,title,meeting_type,source,agenda_pdf,agenda_html,minutes_pdf,minutes_html,audio_link,video_link,mp4_download,detail_page,video_id
7/31/23,,Fort Collins City Council Special Work Session 7/31/23,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2206?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2206?site=1,2206.0
8/8/23,,Fort Collins City Council Special Meeting & Work Session 8/8/23,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2210?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2210?site=1,2210.0
8/15/23,,Fort Collins City Council Meeting 8/15/23,City Council Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2216?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2216?site=1,2216.0
8/22/23,,Fort Collins City Council Work Session 8/22/23,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2225?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2225?site=1,2225.0
8/24/23,,Fort Collins Urban Renewal Authority Board Meeting 8/24/23,Urban Renewal Authority Board,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2227?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2227?site=1,2227.0
9/5/23,,Fort Collins City Council Regular Meeting 9/5/23,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2237?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2237?site=1,2237.0
9/12/23,,Fort Collins City Council Work Session 9/12/23,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2244?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2244?site=1,2244.0
9/19/23,,Fort Collins City Council Regular Meeting 9/19/23,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2250?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2250?site=1,2250.0
9/26/23,,Fort Collins City Council Work Session 9/26/23,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2257?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2257?site=1,2257.0
10/3/23,,Fort Collins City Council Regular Meeting 10/3/23,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2262?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2262?site=1,2262.0
10/10/23,,Fort Collins City Council Work Session 10/10/23,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2266?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2266?site=1,2266.0
10/17/23,,Fort Collins City Council Regular Meeting 10/17/23,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2270?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2270?site=1,2270.0
10/24/23,,Fort Collins City Council Work Session 10/24/23,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2281?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2281?site=1,2281.0
